Latitude,Longitude,Sentiment,Number of Tweets
39,-108,1.769901756,40
39,-107,1.612957546,40
39,-106,0.84779212,19
39,-105,1.993435425,26
39,-104,3.090998998,40
39,-102,-2.47948885,1
39,-101,5.80432415,1
39,-100,-0.932983875,1
39,-99,1.512865346,11
39,-98,1.516652332,13
39,-97,-2.034538415,26
39,-96,2.873989424,40
39,-95,2.723765575,40
39,-94,2.160209253,40
39,-93,1.526683438,40
39,-92,1.674700311,40
39,-91,3.07621365,40
39,-90,0.665886023,40
39,-89,0.616802583,40
39,-88,3.109502636,40
39,-87,2.709524828,40
39,-86,4.384797273,37
39,-85,4.075640373,38
39,-84,1.594326347,40
39,-83,0.786611481,40
39,-82,3.015143299,40
39,-81,0.063525015,40
39,-80,4.702726833,27
39,-79,1.342413057,40
39,-78,1.582815386,36
39,-77,0.580531146,40
39,-76,4.418905196,40
39,-75,1.371193175,40
39,-74,5.22525471,38
40,-124,1.131089026,40
40,-122,-4.970733166,1
40,-121,2.549241131,38
40,-120,-1.280928417,22
40,-119,1.58772518,40
40,-115,-0.915302902,2
40,-114,1.887174896,40
40,-113,1.887174896,40
40,-112,0.792154785,12
40,-111,4.932307966,33
40,-110,4.816551317,40
40,-108,-0.153683215,1
40,-107,4.050159454,1
40,-106,0.997396199,40
40,-105,2.628784608,32
40,-104,1.334572369,40
40,-103,-0.933433324,2
40,-101,0.690696359,1
40,-100,13.57949257,1
40,-99,13.57949257,1
40,-98,-0.82158798,2
40,-97,-0.82158798,2
40,-96,0.453705791,20
40,-95,0.058577319,6
40,-94,-0.738662775,40
40,-93,-0.198051616,17
40,-92,-0.00092152,19
40,-91,3.483417967,40
40,-90,-1.653560526,40
40,-89,1.470520146,40
40,-88,3.345789607,40
40,-87,2.062031857,40
40,-86,3.164679978,40
40,-85,3.269292943,37
40,-84,2.550234401,40
40,-83,0.277561106,33
40,-82,1.35995287,40
40,-81,2.515133673,40
40,-80,4.348981511,40
40,-79,-0.554304329,40
40,-78,10.21667546,40
40,-77,1.16199773,40
40,-76,2.038648803,40
40,-75,-0.513986114,40
40,-74,-0.393954022,40
41,-124,-0.273293257,3
41,-123,2.477430797,39
41,-122,0.673968315,4
41,-118,0.993789158,33
41,-116,1.38754344,1
41,-114,6.323123455,1
41,-113,-2.960159004,6
41,-112,8.74588871,1
41,-111,0.614781202,40
41,-107,-0.053704215,7
41,-106,1.409884572,1
41,-105,2.773558868,30
41,-104,2.530698776,40
41,-103,3.597328901,1
41,-101,10.52290738,2
41,-100,1.658769298,20
41,-99,-0.505938269,6
41,-98,4.99794219,40
41,-97,1.941217577,40
41,-96,-0.14267117,40
41,-95,2.400423905,40
41,-94,0.716095116,40
41,-93,2.178732081,18
41,-92,3.520946175,23
41,-91,1.133988047,10
41,-90,1.811433599,40
41,-89,2.167400854,40
41,-88,1.111850763,40
41,-87,-0.947547078,40
41,-86,4.561397352,40
41,-85,1.639730913,33
41,-84,0.67231441,40
41,-83,0.774703344,28
41,-82,1.797583165,40
41,-81,5.095252554,40
41,-80,5.34624281,40
41,-79,2.575704025,39
41,-78,1.73008576,40
41,-77,4.746358238,40
41,-76,2.093871279,40
41,-75,3.047533576,40
41,-74,3.072702139,40
41,-73,0.741129351,34
41,-72,0.323651775,32
41,-71,1.299096289,40
42,-124,0.003091764,12
42,-123,2.819994447,7
42,-122,1.183306708,40
42,-120,1.0931031,27
42,-118,0.853025436,2
42,-112,-0.796671808,1
42,-109,2.727426305,34
42,-105,3.779937585,12
42,-104,3.333031654,1
42,-103,0.633549367,29
42,-99,-0.538283944,2
42,-98,-2.247513533,2
42,-97,2.037536919,6
42,-96,2.024331178,6
42,-95,0.992570793,6
42,-94,0.356863211,11
42,-93,0.858150049,40
42,-92,3.956128277,31
42,-91,4.32684581,40
42,-90,1.86063628,40
42,-89,1.896496508,27
42,-88,4.053702119,40
42,-87,5.192929259,40
42,-86,7.295034096,40
42,-85,2.468317431,40
42,-84,2.045816556,40
42,-83,2.386141376,40
42,-82,-0.014891914,40
42,-81,1.80557687,40
42,-80,3.327714096,40
42,-79,1.597880566,40
42,-78,0.38837964,40
42,-77,0.163896268,40
42,-76,0.740772181,40
42,-75,1.389238676,40
42,-74,0.202715941,40
42,-73,3.036637988,40
42,-72,5.274701262,40
42,-71,3.210337126,40
43,-125,1.772405032,40
43,-124,1.448237521,7
43,-123,2.151194325,40
43,-122,1.423096742,9
43,-121,3.259655356,3
43,-119,0.255625963,1
43,-116,-3.353595257,3
43,-115,-3.318435113,3
43,-114,-1.180387378,1
43,-113,0.013697959,4
43,-112,1.494450528,15
43,-111,1.993532689,40
43,-110,1.500436635,15
43,-109,4.856101036,2
43,-108,3.330865525,2
43,-107,1.786653668,4
43,-106,0.197372635,3
43,-103,2.202149256,40
43,-102,4.001881063,4
43,-100,6.508499066,3
43,-98,-3.643342733,1
43,-97,3.915860667,35
43,-96,1.203926495,12
43,-95,-0.2157121,10
43,-94,-0.906437246,40
43,-93,3.743009597,8
43,-92,1.714158267,31
43,-91,1.83270296,14
43,-90,-0.643185639,5
43,-89,2.98144208,40
43,-88,3.167548905,40
43,-86,2.547914451,40
43,-85,1.698829816,40
43,-84,2.704464752,40
43,-83,1.427475824,40
43,-82,2.741405376,40
43,-81,1.745015323,40
43,-80,3.006207019,40
43,-79,2.177780801,40
43,-78,-0.258303343,36
43,-77,-0.21954985,39
43,-76,0.482669388,40
43,-75,2.249049117,40
43,-74,1.1599858,40
43,-73,0.653511651,40
43,-72,2.844450497,40
43,-71,-0.277751132,40
44,-124,4.196342323,40
44,-123,-0.46868818,6
44,-121,2.203714803,40
44,-120,2.411368081,40
44,-119,2.189281974,30
44,-117,1.14905715,1
44,-116,5.747111957,40
44,-114,2.635596935,40
44,-112,4.047785819,4
44,-111,2.32305575,5
44,-107,-0.014682369,12
44,-106,-4.178837776,1
44,-105,2.656412899,6
44,-104,2.656412899,6
44,-103,12.78989363,2
44,-102,1.899881897,40
44,-100,3.253405511,2
44,-98,2.439023092,30
44,-97,1.064113736,22
44,-96,3.356909499,10
44,-95,0.438903,40
44,-94,-1.676694236,14
44,-93,1.225606819,40
44,-92,2.366344605,40
44,-91,2.435007703,40
44,-90,1.49065398,40
44,-89,2.773275291,22
44,-88,2.976005701,40
44,-87,4.743339929,40
44,-86,-0.008046567,3
44,-85,3.015990886,22
44,-84,0.099516635,13
44,-83,1.523283275,40
44,-82,-1.591037273,1
44,-81,1.380037441,20
44,-80,-1.769527482,40
44,-79,0.719311482,25
44,-78,-1.165028543,40
44,-77,1.772023571,40
44,-76,2.079395036,40
44,-75,2.056379157,40
44,-74,0.945471678,7
44,-73,1.766076899,26
44,-72,-0.244138141,40
44,-71,-0.406064482,40
45,-124,1.291678434,40
45,-123,1.757493873,12
45,-122,1.969031737,40
45,-121,2.921889277,11
45,-118,3.417041659,2
45,-117,-0.296632541,2
45,-116,-2.194825066,2
45,-114,0.900810351,3
45,-113,0.695569769,2
45,-112,-1.928927988,4
45,-111,-0.945161194,2
45,-110,-3.955763102,1
45,-109,-2.932981968,1
45,-108,-1.699175143,10
45,-107,1.587098002,1
45,-101,2.843487237,6
